method,coverage,width,worst_slice,runtime_s,dataset,seed,width_norm,cred_lo,cred_hi,p_meets
Split-Conformal,0.85,51.43398072773916,0.55,0.2480423949999703,degradation,6,0.326028993799386,,,
Deep-Ensemble,0.73,31.673954375413565,0.45,2.6368966649999948,degradation,6,0.2007744166123706,,,
MLP-Gaussian,0.85,55.87169566288252,0.55,0.270922368000015,degradation,6,0.3541587188294574,,,
Gaussian-Process,0.92,53.5449131362785,0.65,0.080256626999926,degradation,6,0.3394097424678129,,,
Bayesian-Ridge,0.9,67.19344176904166,0.65,0.0020031319999134,degradation,6,0.4259248438467351,,,
ACBUQ (ours),0.95,57.91134766410536,0.75,0.9114600499999596,degradation,7,0.3670876362542942,0.9029146253602468,0.9720698376823378,0.9594212760817896
CQR,0.92,49.22827115313523,0.65,0.8886604269999907,degradation,7,0.3120474729634154,,,
Split-Conformal,0.94,65.0517595784709,0.75,0.630853763999994,degradation,7,0.4123491788923546,,,
Deep-Ensemble,0.75,27.019124231814686,0.35,4.106331407000084,degradation,7,0.1712684447519012,,,
MLP-Gaussian,0.92,58.91228510032591,0.7,0.630100203999973,degradation,7,0.3734323644003528,,,
Gaussian-Process,0.9,44.22453288399294,0.65,0.0702075960000456,degradation,7,0.2803298471829142,,,
Bayesian-Ridge,0.91,60.4171422234868,0.65,0.0018813199999385,degradation,7,0.382971331572135,,,
ACBUQ (ours),0.97,63.33227974416206,0.9,0.9159753899999714,degradation,8,0.4014497642970596,0.9247335438915854,0.9833004893631772,0.9939476533676432
CQR,0.93,55.26262902231756,0.7,0.9396780600000056,degradation,8,0.3502979757726193,,,
Split-Conformal,0.94,95.62166827792468,0.75,0.1176103359999842,degradation,8,0.6061252862984614,,,
Deep-Ensemble,0.68,24.83613900390368,0.35,3.1838821609999286,degradation,8,0.15743096868521,,,
MLP-Gaussian,0.93,81.28508469932461,0.7,0.1312567009999838,degradation,8,0.5152487519039354,,,
Gaussian-Process,0.93,55.87850455642862,0.75,0.0605738739999424,degradation,8,0.3542018789481243,,,
Bayesian-Ridge,0.95,70.44052092792175,0.75,0.001653340999951,degradation,8,0.4465073835603235,,,
ACBUQ (ours),0.98,60.69230869027712,0.9,0.8746787580000728,degradation,9,0.3847155529025792,0.9361344336057256,0.9884384424596884,0.99829025672192
CQR,0.96,50.51248211350049,0.85,0.8826516930000707,degradation,9,0.3201878113410791,,,
Split-Conformal,0.91,50.75385655242055,0.7,0.3831386010000415,degradation,9,0.3217178322404251,,,
Deep-Ensemble,0.66,21.5461116506805,0.3,2.0148686580000685,degradation,9,0.1365761895612346,,,
MLP-Gaussian,0.91,54.40550769874709,0.7,0.378095716999951,degradation,9,0.3448648671791604,,,
Gaussian-Process,0.94,60.102514246442325,0.75,0.0653741930000251,degradation,9,0.3809769721753788,,,
Bayesian-Ridge,0.95,72.55971717397793,0.75,0.0018376069999703,degradation,9,0.4599405149258005,,,
